"person","occup","tax","hiscam"
"https://iisg.amsterdam/resource/bdv/100451","https://iisg.amsterdam/hisco/code/hisco/12110","216","99"
"https://iisg.amsterdam/resource/bdv/106901","https://iisg.amsterdam/hisco/code/hisco/12110","121","99"
"https://iisg.amsterdam/resource/bdv/109751","https://iisg.amsterdam/hisco/code/hisco/12110","251","99"
"https://iisg.amsterdam/resource/bdv/115901","https://iisg.amsterdam/hisco/code/hisco/12110","209","99"
"https://iisg.amsterdam/resource/bdv/119051","https://iisg.amsterdam/hisco/code/hisco/12110","142","99"
"https://iisg.amsterdam/resource/bdv/119801","https://iisg.amsterdam/hisco/code/hisco/12110","69","99"
"https://iisg.amsterdam/resource/bdv/120001","https://iisg.amsterdam/hisco/code/hisco/12110","401","99"
"https://iisg.amsterdam/resource/bdv/120251","https://iisg.amsterdam/hisco/code/hisco/12110","253","99"
"https://iisg.amsterdam/resource/bdv/122501","https://iisg.amsterdam/hisco/code/hisco/12110","118","99"
"https://iisg.amsterdam/resource/bdv/123101","https://iisg.amsterdam/hisco/code/hisco/12110","81","99"
"https://iisg.amsterdam/resource/bdv/124301","https://iisg.amsterdam/hisco/code/hisco/12110","179","99"
"https://iisg.amsterdam/resource/bdv/126751","https://iisg.amsterdam/hisco/code/hisco/12110","88","99"
"https://iisg.amsterdam/resource/bdv/129551","https://iisg.amsterdam/hisco/code/hisco/12110","535","99"
"https://iisg.amsterdam/resource/bdv/132351","https://iisg.amsterdam/hisco/code/hisco/12110","111","99"
"https://iisg.amsterdam/resource/bdv/133301","https://iisg.amsterdam/hisco/code/hisco/12110","144","99"
"https://iisg.amsterdam/resource/bdv/107501","https://iisg.amsterdam/hisco/code/hisco/12210","385","99"
"https://iisg.amsterdam/resource/bdv/135251","https://iisg.amsterdam/hisco/code/hisco/12210","706","99"
"https://iisg.amsterdam/resource/bdv/100501","https://iisg.amsterdam/hisco/code/hisco/12310","99","99"
"https://iisg.amsterdam/resource/bdv/109551","https://iisg.amsterdam/hisco/code/hisco/12310","0","99"
"https://iisg.amsterdam/resource/bdv/109801","https://iisg.amsterdam/hisco/code/hisco/12310","37","99"
"https://iisg.amsterdam/resource/bdv/110351","https://iisg.amsterdam/hisco/code/hisco/12310","125","99"
"https://iisg.amsterdam/resource/bdv/129001","https://iisg.amsterdam/hisco/code/hisco/12310","100","99"
"https://iisg.amsterdam/resource/bdv/134801","https://iisg.amsterdam/hisco/code/hisco/12310","80","99"
