"Name","CinemaContextId","CinemaContextLink","OpeningYear","ClosingYear","Address","Locatiepunt1","Locatiepunt2","Locatiepunt3","Locatiepunt4","Locatiepunt5","CityNeighborhood1850","TopCountry1","TopCountry2","TopCountry3","TopGenre1","TopGenre2","TopGenre3"
"Bijou Biograph Theatre","Bios82","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;start=8;size=1;tpl=details.tpl",1906,1915,"Damstraat 20",900014,,,,,"A"," "," "," ",,,
"Damstraat Bioscope","Bios54","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;start=9;size=1;tpl=details.tpl",1915,1920,"Damstraat 20",900014,,,,,"A","USA",,,,,
"New York","Bios81","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=84;tpl=details.tpl#target5",1920,1924,"Damstraat 20",900014,,,,,"A"," "," "," ",,,
"Dam Bioscoop","Bios53","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;start=10;size=1;tpl=details.tpl",1913,1914,"Damstraat 23",1006,,,,,"J",,,,,,
"Americain Bioscoop","Bios71","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=11;tpl=details.tpl",1911,1913,"Daniël Stalpertstraat 67",900015,,,,,"YY","USA","F",,"Short","Comedy",
"Olympia (Dapperstraat)","Bios26","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=12;tpl=details.tpl",1911,1922,"Dapperstraat 84",900016,,,,,"ZZ","F",,,"Short","Comedy","Drama"
"Swinden Theater","Bios91","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=125;tpl=details.tpl",1913,1926,"1e Van Swindenstraat 72-76",900017,900018,900019,,,"ZZ"," "," "," ",,,
"Edison (Elandsgracht)","Bios18","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=13;tpl=details.tpl",1912,1962,"Elandsgracht 92",900020,,,,,"GG","USA","F","D","Drama","Romance","Comedy"
"Paleis voor Volksvlijt","Bios102","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?type=boolean;c=cccbioscoop;sid=9a1f78db0d329446d2b166e80694eb47;lang=nl;q1=Amsterdam;rgn1=Stad;op2=And;rgn2=Alle%20velden;op3=And;rgn3=Alle%20velden;op4=And;rgn4=Alle%20velden;op5=And;rgn5=Alle%20velden;op6=And;rgn6=Alle%20velden;op7=And;rgn7=Alle%20velden;op8=And;rgn8=Alle%20velden;op9=And;rgn9=Alle%20velden;op10=And;rgn10=Alle%20velden;rangemin1=1907;rangemax1=1928;date1=1800;date2=1928;rangemin2=01-01-1800;rangemax2=31-12-1928;sort=stad%20oplopend;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=14;tpl=details.tpl",1907,1929,"Frederiksplein",900021,,,,,"Z","USA","F","D","Drama","Adventure","Fantasy"
"Bioscoop onbekend 2 / Bioscoop Goudsbloemstraat","Bios73","http://www.cinemacontext.nl/cgi/b/bib/bib-idx?sort=naam%20oplopend;sid=46eec382e20c7b7fa0d185d9934c82c4;lang=nl;c=cccbioscoop;rgn1=Stad;type=boolean;q1=amsterdam;cc=cccbioscoop;view=reslist;fmt=long;page=reslist;size=1;start=18;tpl=details.tpl",1912,1914,"Goudsbloemstraat 52-54",900022,900023,,,,"QQ"," "," "," ",,,
