rij,obs,pop,houseType,residenceStatus,kom,sex
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I100-h,294,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
101,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I101-h,227,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I102-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
103,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I103-h,980,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I108-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
109,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I109-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I110-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
111,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I111-h,619,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I112-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
113,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I113-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I114-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
115,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I115-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
116,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I116-h,528,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
117,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I117-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
118,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I118-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
119,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I119-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
120,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I120-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
121,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I121-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
122,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I122-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
123,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I123-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
124,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I124-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
125,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I125-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
126,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I126-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
127,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I127-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
128,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I128-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
129,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I129-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
130,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I130-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
131,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I131-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
132,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I132-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
133,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I133-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
134,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I134-h,787,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
135,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I135-h,638,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
136,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I136-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
137,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I137-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
138,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I138-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
139,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I139-h,466,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
140,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I140-h,817,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
141,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I141-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
142,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I142-h,10,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
143,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I143-h,682,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
144,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I144-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
145,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I145-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
146,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I146-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
147,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I147-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
148,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I148-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
149,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I149-h,553,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
150,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I150-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
151,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I151-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
152,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I152-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
153,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I153-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
154,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I154-h,688,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
155,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I155-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
156,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I156-h,473,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
157,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I157-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
158,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I158-h,600,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
159,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I159-h,2,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
160,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I160-h,17,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
161,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I161-h,20,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
162,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I162-h,2,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
163,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I163-h,410,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
164,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I164-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
165,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I165-h,505,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
166,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I166-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
167,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I167-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
168,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I168-h,417,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
169,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I169-h,1,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
