rij,obs,pop,houseType,residenceStatus,kom,sex
517,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M517-h,149,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
518,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M518-h,1197,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
519,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M519-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
520,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M520-h,2715,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
521,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M521-h,49,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
522,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M522-h,275,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
523,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M523-h,22,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
524,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M524-h,25,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
525,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M525-h,3218,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
526,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M526-h,587,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
527,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M527-h,10,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
528,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M528-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
529,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M529-h,5,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
530,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M530-h,3995,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
531,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M531-h,615,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
532,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M532-h,19,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
533,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M533-h,108,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
534,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M534-h,4448,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
535,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M535-h,139,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
536,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M536-h,11,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
537,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M537-h,8,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
538,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M538-h,50,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
539,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M539-h,6366,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
540,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M540-h,2221,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
541,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M541-h,3,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
542,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M542-h,26,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
543,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M543-h,35,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
544,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M544-h,1019,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
547,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M547-h,15,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
549,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M549-h,36,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
550,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M550-h,41,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
551,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M551-h,9,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
552,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M552-h,32,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
553,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M553-h,1808,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
554,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M554-h,81,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
555,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M555-h,47,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
556,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M556-h,2529,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
557,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M557-h,5,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
558,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M558-h,10,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
559,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M559-h,5253,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
560,http://lod.cedar-project.nl:8888/cedar/resource/VT_1909_01_T-S0-M560-h,748,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#JuridischAanwezig,,http://purl.org/linked-data/sdmx/2009/code#sex-F
