rij,buurtLabel,buurt,nadere_omschrijving1,nadere_omschrijving2
164,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,St. Aloysius-gesticht,Kom
165,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,Overige huizen,Kom
166,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Toevlugt voor behoeftigen,Kom
167,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Hofje van de wed. Roosen,Kom
168,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Overige huizen,Kom
169,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Gesticht Stads-bestedelingen,Kom
170,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Kosthuis No. 1,Kom
171,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Overige huizen,Kom
172,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Instituut tot onderwijs van Blinden,Kom
173,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Weeshuis ""de Oranjeappel""",Kom
174,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Hof ""Liefde is het Fundament""",Kom
175,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Nieuw Suikerhofje,Kom
176,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,R. C. Ziekenverpleging,Kom
177,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Overige huizen,Kom
178,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Kweekschool voor de Zeevaart,Kom
179,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Gesticht van Liefdadigheid,Kom
180,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Burgerziekenhuis,Kom
181,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Pastorie der Alg. Hulpkerk,Kom
182,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Overige huizen,Kom
183,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,St. Andrieshofje,Kom
184,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,"Christ. Geref. Wees-, Oude Mannen- en Vrouwenhuis",Kom
185,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,Hamer- en Bouwershof,Kom
186,Buurt MM,https://adamlink.nl/geo/district/buurt-mm/109,Overige huizen,Kom
187,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Zwaardvegershofje,Kom
188,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Hofje de Zeven Keurvorsten,Kom
189,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Anslo's Hofje,Kom
190,Buurt NN,https://adamlink.nl/geo/district/buurt-nn/108,Overige huizen,Kom
191,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Regenboogs-Liefdehofje,Kom
192,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Van Beeckshofje,Kom
193,Buurt OO,https://adamlink.nl/geo/district/buurt-oo/107,Overige huizen,Kom
194,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Het Suijckerhofje,Kom
195,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Huiszitten-weduwenhof,Kom
196,Buurt PP,https://adamlink.nl/geo/district/buurt-pp/106,Overige huizen,Kom
197,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Lindenhofje,Kom
198,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Rapenhofje,Kom
199,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Boscherhofje,Kom
200,Buurt QQ,https://adamlink.nl/geo/district/buurt-qq/101,Overige huizen,Kom
201,Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117,Brandweerkazerne,Kom
202,Buurt RR,https://adamlink.nl/geo/district/buurt-rr/117,Overige huizen,Kom
203,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Fontaineshofje,Kom
204,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,"Gesticht ""de Ster""",Kom
205,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Nieuwe of Zonsche hofje,Kom
206,Buurt SS,https://adamlink.nl/geo/district/buurt-ss/118,Overige huizen,Kom
207,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,"Diaconie Wees-, Oude Mannen- en Vrouwenhuis der Hersteld Evangelisch Luth. gemeente",Kom
208,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,St. Antonius gesticht,Kom
209,Buurt TT,https://adamlink.nl/geo/district/buurt-tt/105,Overige huizen,Kom
210,Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102,Moenshofje,Kom
211,Buurt UU,https://adamlink.nl/geo/district/buurt-uu/102,Overige huizen,Kom
212,Buurt VV,https://adamlink.nl/geo/district/buurt-vv/104,,Kom
213,Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103,,Kom
214,Buurt WW,https://adamlink.nl/geo/district/buurt-ww/103,,Buiten de kom
215,Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123,Buitengasthuis,Kom
216,Buurt XX,https://adamlink.nl/geo/district/buurt-xx/123,Overige huizen,Kom
217,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Gesticht voor volwassen blinden,Kom
218,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Henriette Hofje (oude vrouwen),Kom
219,Buurt YY,https://adamlink.nl/geo/district/buurt-yy/124,Overige huizen,Kom
220,Buurt ZZ,https://adamlink.nl/geo/district/buurt-zz/150,,Kom
221,Buurt ZZ,https://adamlink.nl/geo/district/buurt-zz/150,,Buiten de kom
222,,,Arken en Keeten,Kom
223,,,Schepen te Amsterdam te huis behoorende,Kom
224,,,,Totaal kom
225,,,,Buiten de kom
226,,,,Totaal voor de woningen in de gemeente
227,,,,"Personen die bij de volkstelling verklaard hebben in de gemeente te wonen, doch wier woonplaats daar niet is gevonden"
228,,,,Algemeen totaal der bevolking
229,,,,Tijdelijk aanwezige schepen
68,Buurt A,https://adamlink.nl/geo/district/buurt-a/134,Broederschap der R. C. gemeente,Kom
69,Buurt A,https://adamlink.nl/geo/district/buurt-a/134,Overige huizen,Kom
70,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,Binnen-Gasthuis,Kom
71,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,St. Bernardus gesticht,Kom
72,Buurt B,https://adamlink.nl/geo/district/buurt-b/136,Overige huizen,Kom
73,Buurt C,https://adamlink.nl/geo/district/buurt-c/141,,Kom
74,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,R. C. Maagdenhuis,Kom
75,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,Hulphuis van arrest,Kom
76,Buurt D,https://adamlink.nl/geo/district/buurt-d/131,Overige huizen,Kom
77,Buurt E,https://adamlink.nl/geo/district/buurt-e/130,Burgerweeshuis,Kom
78,Buurt E,https://adamlink.nl/geo/district/buurt-e/130,Overige huizen,Kom
79,Buurt F,https://adamlink.nl/geo/district/buurt-f/121,Hofje van Brouwer,Kom
80,Buurt F,https://adamlink.nl/geo/district/buurt-f/121,Overige huizen,Kom
81,Buurt G,https://adamlink.nl/geo/district/buurt-g/120,,Kom
82,Buurt H,https://adamlink.nl/geo/district/buurt-h/129,,Kom
83,Buurt I,https://adamlink.nl/geo/district/buurt-j/133,,Kom
84,Buurt K,https://adamlink.nl/geo/district/buurt-k/135,Brandweerkazerne,Kom
85,Buurt K,https://adamlink.nl/geo/district/buurt-k/135,Overige huizen,Kom
86,Buurt L,https://adamlink.nl/geo/district/buurt-l/119,Gesticht St. Rosa,Kom
87,Buurt L,https://adamlink.nl/geo/district/buurt-l/119,Overige huizen,Kom
88,Buurt L,https://adamlink.nl/geo/district/buurt-l/119,,Buiten de kom
89,Buurt M,https://adamlink.nl/geo/district/buurt-m/132,Gesticht Vreedenburg,Kom
90,Buurt M,https://adamlink.nl/geo/district/buurt-m/132,Overige huizen,Kom
91,Buurt N,https://adamlink.nl/geo/district/buurt-n/139,,Kom
92,Buurt O,https://adamlink.nl/geo/district/buurt-o/140,,Kom
93,Buurt P,https://adamlink.nl/geo/district/buurt-p/142,Port. Israël. oude mannenhuis,Kom
94,Buurt P,https://adamlink.nl/geo/district/buurt-p/142,Rijks-arsenaal,Kom
95,Buurt P,https://adamlink.nl/geo/district/buurt-p/142,Ned. Isr. Jongens-weeshuis,Kom
96,Buurt P,https://adamlink.nl/geo/district/buurt-p/142,Diaconie-weeshuis,Kom
97,Buurt P,https://adamlink.nl/geo/district/buurt-p/142,Overige huizen,Kom
98,Buurt Q,https://adamlink.nl/geo/district/buurt-q/144,"Port. Israël. Jongens weeshuis ""Abij Jetomim""",Kom
99,Buurt Q,https://adamlink.nl/geo/district/buurt-q/144,Overige huizen,Kom
