rij,obs,pop,houseType,residenceStatus,kom,sex,description,buurt
55,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E55-h,565,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt I,https://adamlink.nl/geo/district/buurt-j/133
56,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E56-h,576,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt K,https://adamlink.nl/geo/district/buurt-k/135
58,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E58-h,648,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt L,https://adamlink.nl/geo/district/buurt-l/119
60,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E60-h,413,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt M,https://adamlink.nl/geo/district/buurt-m/132
62,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E62-h,414,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt N,https://adamlink.nl/geo/district/buurt-n/139
64,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E64-h,375,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt O,https://adamlink.nl/geo/district/buurt-o/140
66,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E66-h,313,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt P,https://adamlink.nl/geo/district/buurt-p/142
67,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E67-h,224,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt Q,https://adamlink.nl/geo/district/buurt-q/144
68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E68-h,285,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt R,https://adamlink.nl/geo/district/buurt-r/146
70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E70-h,196,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt S,https://adamlink.nl/geo/district/buurt-s/145
71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E71-h,722,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt T,https://adamlink.nl/geo/district/buurt-t/149
73,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E73-h,602,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt U,https://adamlink.nl/geo/district/buurt-u/148
75,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E75-h,454,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt V,https://adamlink.nl/geo/district/buurt-v/147
77,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E77-h,616,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt W,https://adamlink.nl/geo/district/buurt-w/143
79,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E79-h,629,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt X,https://adamlink.nl/geo/district/buurt-x/127
80,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E80-h,496,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,,Kom. Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137
