rij,obs,pop,houseType,residenceStatus,kom,sex
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E100-h,586,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E102-h,621,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
104,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E104-h,816,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
106,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E106-h,290,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E108-h,491,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E110-h,475,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E112-h,672,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E114-h,198,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
118,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E118-h,183,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,
119,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E119-h,459,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,
121,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E121-h,147,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,
123,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E123-h,136,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BuitenKom,
41,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E41-h,407,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
42,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E42-h,292,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
44,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E44-h,504,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
46,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E46-h,301,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
48,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E48-h,459,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
49,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E49-h,335,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
51,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E51-h,435,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
53,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E53-h,556,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
55,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E55-h,565,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
56,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E56-h,576,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
58,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E58-h,648,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
60,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E60-h,413,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
62,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E62-h,414,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
64,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E64-h,375,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
66,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E66-h,313,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
67,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E67-h,224,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
68,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E68-h,285,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
70,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E70-h,196,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
71,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E71-h,722,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
73,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E73-h,602,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
75,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E75-h,454,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
77,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E77-h,616,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
79,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E79-h,629,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
80,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E80-h,496,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
82,http://lod.cedar-project.nl:8888/cedar/resource/VT_1859_01_H1-S3-E82-h,748,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeHuizen,,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
