rij,Ligging,BuurtLabel,buurt,Overig,Beschrijving
189,Kom,G.G,https://adamlink.nl/geo/district/buurt-gg/113,,St. Aloysiusgesticht
190,Kom,G.G,https://adamlink.nl/geo/district/buurt-gg/113,Overige huizen,
191,Kom,H.H,https://adamlink.nl/geo/district/buurt-hh/114,,Hofje van de wed. Roosen
192,Kom,H.H,https://adamlink.nl/geo/district/buurt-hh/114,,"Doetinchemsche Stichting ""Ruimzicht"""
193,Kom,H.H,https://adamlink.nl/geo/district/buurt-hh/114,Overige huizen,
194,Kom,I.I,https://adamlink.nl/geo/district/buurt-jj/122,,Kosthuis v/d Mij. van den werkenden stand
195,Kom,I.I,https://adamlink.nl/geo/district/buurt-jj/122,,Doorgangshuis
196,Kom,I.I,https://adamlink.nl/geo/district/buurt-jj/122,,Stads Bestedelingenhuis
197,Kom,I.I,https://adamlink.nl/geo/district/buurt-jj/122,,Parochiekerk van den H. Franciscus Xaverius (Krijtb.)
198,Kom,I.I,https://adamlink.nl/geo/district/buurt-jj/122,Overige huizen,
199,Kom,K.K,https://adamlink.nl/geo/district/buurt-kk/115,,"Hofje ""Liefde is het fondament"""
200,Kom,K.K,https://adamlink.nl/geo/district/buurt-kk/115,,Nieuwe Suikerhofje
201,Kom,K.K,https://adamlink.nl/geo/district/buurt-kk/115,,"Weeshuis der Doopsgez. Gem. ""de Oranje Appel"""
202,Kom,K.K,https://adamlink.nl/geo/district/buurt-kk/115,Overige huizen,
203,Kom,L.L,https://adamlink.nl/geo/district/buurt-ll/116,,Kerk van O.L. Vrouwe Redemptoristen
204,Kom,L.L,https://adamlink.nl/geo/district/buurt-ll/116,,Gest. van liefdadigheid
205,Kom,L.L,https://adamlink.nl/geo/district/buurt-ll/116,Overige huizen,
206,Kom,M.M,https://adamlink.nl/geo/district/buurt-mm/109,,"Wees-, O.M. en Vr. Huis der Geref. Kerk A."
207,Kom,M.M,https://adamlink.nl/geo/district/buurt-mm/109,,Hamer- en Bouwershof
208,Kom,M.M,https://adamlink.nl/geo/district/buurt-mm/109,,St. Andrieshofje
209,Kom,M.M,https://adamlink.nl/geo/district/buurt-mm/109,Overige huizen,
210,Kom,N.N,https://adamlink.nl/geo/district/buurt-nn/108,,Zwaardvegershofje
211,Kom,N.N,https://adamlink.nl/geo/district/buurt-nn/108,,Anslo's hofje
212,Kom,N.N,https://adamlink.nl/geo/district/buurt-nn/108,,Hofje de Zeven Keurvorsten
213,Kom,N.N,https://adamlink.nl/geo/district/buurt-nn/108,Overige huizen,
214,Kom,O.O,https://adamlink.nl/geo/district/buurt-oo/107,,Trompettershofje
215,Kom,O.O,https://adamlink.nl/geo/district/buurt-oo/107,,van Beeckshofje
216,Kom,O.O,https://adamlink.nl/geo/district/buurt-oo/107,,Regenboogsliefdehofje
217,Kom,O.O,https://adamlink.nl/geo/district/buurt-oo/107,Overige huizen,
218,Kom,P.P,https://adamlink.nl/geo/district/buurt-pp/106,,Het Huiszittende Weduwenhof
219,Kom,P.P,https://adamlink.nl/geo/district/buurt-pp/106,,Het Suijckerhof
220,Kom,P.P,https://adamlink.nl/geo/district/buurt-pp/106,Overige huizen,
221,Kom,Q.Q,https://adamlink.nl/geo/district/buurt-qq/101,,Rapenhofje
222,Kom,Q.Q,https://adamlink.nl/geo/district/buurt-qq/101,,Het Bosschehofje
223,Kom,Q.Q,https://adamlink.nl/geo/district/buurt-qq/101,,Lindenhofje
224,Kom,Q.Q,https://adamlink.nl/geo/district/buurt-qq/101,Overige huizen,
225,Kom,R.R,https://adamlink.nl/geo/district/buurt-rr/117,,Vrije Universiteit
226,Kom,R.R,https://adamlink.nl/geo/district/buurt-rr/117,,R.K. Ziekenverpleging
227,Kom,R.R,https://adamlink.nl/geo/district/buurt-rr/117,,St. Rozagesticht
228,Kom,R.R,https://adamlink.nl/geo/district/buurt-rr/117,Overige huizen,
