rij,obs,pop,houseType,residenceStatus,kom,sex
237,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-L237-h,501,http://lod.cedar-project.nl/vocab/cedar#house-BewoondeSchepen,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#TijdelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,
100,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M100-h,2360,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
101,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M101-h,2078,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
102,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M102-h,248,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
103,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M103-h,13794,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
104,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M104-h,10,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
105,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M105-h,16,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
106,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M106-h,370,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
107,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M107-h,14,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
108,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M108-h,78,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
109,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M109-h,99,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
110,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M110-h,121,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
111,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M111-h,597,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
112,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M112-h,74,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
113,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M113-h,12,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
114,http://lod.cedar-project.nl:8888/cedar/resource/VT_1889_08_H1-S0-M114-h,4020,,http://lod.cedar-project.nl/vocab/cedar-residenceStatus#FeitelijkAanwezig,http://lod.cedar-project.nl/vocab/cedar-Kom#BinnenKom,http://purl.org/linked-data/sdmx/2009/code#sex-M
